project;commitHash;changedfiled
large-refactorings/dubbo;a437ae8d0241ef79dec0feb319716b6c7a6f55db;1
large-refactorings/dubbo;c3c6f7176fdb8ab3df0ff72755a5ebc86bb734cd;3
large-refactorings/dubbo;0809a168db5fd71a58dd3f87b0bce00bd5ed8916;12
large-refactorings/dubbo;a50810b1a6321eb468ed1d626d7cea2abe1ec038;11
large-refactorings/dubbo;f55a11580e30a8ab97a8f9f1c9c275029666c355;2
large-refactorings/dubbo;d89aa89ba0711cd8fa5a8b760a7c78de371bb51b;10
large-refactorings/dubbo;a9d3c4a77fde41c3c90217f836574cc3cd990e8a;10
large-refactorings/dubbo;0c39f233089ebd9d8502abadbb3e970a02daf922;1
large-refactorings/dubbo;b48a7c9fc989c5eb76a61d0e1f8f2209d39b3745;3
large-refactorings/dubbo;ffb520908a9fdef12475351ee2af9f3bb1b09410;3
large-refactorings/dubbo;712d0b22f3d0830f5a77b6ad06b99612f9b98e68;4
large-refactorings/dubbo;a66096b97c17498a2ed9afb683761ecc1182f69b;3
large-refactorings/dubbo;cf8223ee69f59d9391fe41ee4c293b812cd823b2;1
large-refactorings/dubbo;92a7bfeac4e32812aa73df774a3111937fb97965;1
large-refactorings/dubbo;b5e65a6d25758bd459a5d8898feeaae32f6c388f;2
large-refactorings/dubbo;c35fed27427ef66bb1aed122627a1417313a650f;10
large-refactorings/dubbo;0d6c4ab5c9b157f247f994ec88dada0afa653d66;13
large-refactorings/dubbo;08eb01be723c20ff44e9e58c478f783aff20ab6e;2
large-refactorings/dubbo;961ce5f101bbf0f8ddbf2394a8518bc9b58bb561;1
large-refactorings/dubbo;6808f8f104f325bf92cb9715c8c50eaa10ce18eb;18
large-refactorings/dubbo;b64ea1d8c6c5b64828ef3d08f8cc432de59bb559;1
large-refactorings/dubbo;0c593abf8b260e4cc5620fb931fb57c6988ef961;4
large-refactorings/dubbo;4756ad8ce8d20c02a585482ecd432f2cbeec3bb2;1
large-refactorings/dubbo;4f77724de850101f5196fd2576a86f07eee64f58;3
large-refactorings/dubbo;8bc6144938fdecd69893574d8d428e0c6e159cdd;7
large-refactorings/dubbo;647bdbb1a7820cac184185d2615073d296ab7c09;1
large-refactorings/dubbo;649dc5b396fe57e34cb13a1b6469d8ea496db387;34
large-refactorings/dubbo;0a07eaee651a263fd05c1b173b29ed220539d4dd;1
large-refactorings/dubbo;1c25aa3c541a09d045ad93971c96a913ff00a4e5;1
large-refactorings/dubbo;eec80a861a969f8b525211af9875e9816c94b5cc;16
large-refactorings/dubbo;3d49cc1d22c3e789f6876790b63a2eac925d52bc;2
large-refactorings/dubbo;33e373c62d9e9eff24d490a081209a02518d64f2;4
large-refactorings/dubbo;7d0ff116c159bf075e0ec9751db2c7f5f1f97b12;39
large-refactorings/dubbo;e86cfcfa0e2c4022aecdfad95b992c6e378abc80;1
large-refactorings/dubbo;2f099bddd19b2cd887c15ee0ac2cba98cda837bf;1
large-refactorings/dubbo;75443e1c8e842c2ce700e7dd4d01a16921edd278;20
large-refactorings/dubbo;f19da285a88d37a1b4e9b51e5d617a9f09a029ff;5
large-refactorings/dubbo;b680b533485bede110e0e7d1afd57a1f9a354f12;2
large-refactorings/dubbo;7e334527b50f35d77f659c87e2cddae180e84cb2;2
large-refactorings/dubbo;155e35ec147948167d60bea17c3061fca0cde504;12
large-refactorings/dubbo;100655a888e7f30ed41f0d16a20dcc80103e7e0f;2
large-refactorings/dubbo;1832ff597758bcbb80de024ddde589fd36ec5865;1
large-refactorings/dubbo;78d9012c646f032584876bb568b713ebf4391798;1
large-refactorings/dubbo;536f31705775bd12fa86ba044f2b9b7414e04c65;1
large-refactorings/dubbo;c125b99189650b2f3ae148fb19c970435bba3563;10
large-refactorings/dubbo;d1f100e14ed0e35f2a840b7969ab20fce5017e3f;3
large-refactorings/dubbo;63baa5c0432ad3f51ea7e583f0b0af4863804238;1
large-refactorings/dubbo;5d60b34d085fbd56bafc09d295f4ee289b8c2554;5
large-refactorings/dubbo;a94a059376ad76dd4569e80dd8be0585b58b83d7;9
large-refactorings/dubbo;2982234ea34bdffab3bc4b8b8b5cf4311cc76f18;1
large-refactorings/dubbo;bb94723f236d45d19e41a6b05468bcd9e0e60b79;1
large-refactorings/dubbo;b2fc28a67a12d3beea70e5d5c4f8b1b9d54350c3;1
large-refactorings/dubbo;94110c0e65f685af0e88b07f9587bca03b64cf9b;1
large-refactorings/dubbo;80a38ff01c97d6d824d6960cef40537d5a37072b;1
large-refactorings/dubbo;a4d86f8af464545b3065c54ed4525025aca9474e;3
large-refactorings/dubbo;88313f04c87a77e3b1a414228cf8e5bdb9d5921e;1
large-refactorings/dubbo;84078a55fcf1b45cdb6a2dedd5af99ad39d4f3bc;1
large-refactorings/dubbo;6c8046aa43771ced3d725af4fb8e7455166fe9ea;1
large-refactorings/dubbo;e5aaeffbe317b083e966235855c8e17e91efa759;1
large-refactorings/dubbo;a40a90928c9b89f243a2f5c1110d9de72b8ac1aa;1
large-refactorings/dubbo;4149543bed77fb9d4f859c766c4d90aa09bc81af;1
large-refactorings/dubbo;5d9512a9a8e736be52261e596a0e38f8ac344baf;3
large-refactorings/dubbo;b48b7924fb087ac648d05b4e35b87f00dee0aada;3
large-refactorings/dubbo;3d1d326718f256af8d96aef67aae31ab6ead0ff7;2
large-refactorings/dubbo;3f3cea771e158c443ea3c3d7ef2c94f8a982ae35;8
large-refactorings/dubbo;5e4125c5be39ed863e55701b4a7b5291163def08;1
large-refactorings/dubbo;c28ca24475f92e4828e75a02e5a505403c68979a;1
large-refactorings/dubbo;3f2b770828853d4d5867b345a530472f100dd6bf;5
large-refactorings/dubbo;d91594453de16e9d04bc3475c6184a6f71115395;1
large-refactorings/dubbo;b50effe1397341e3e556f75c7cae3a9430e95ef7;2
large-refactorings/dubbo;f9d3b4b786171adba2f261927277fa0fcc5eab0e;2
large-refactorings/dubbo;35ebd434cb7ca425fc55126fca6cc2fa15b92065;1
large-refactorings/dubbo;747282cdf851c144af562d3f92e10349cc315e36;1
large-refactorings/dubbo;042dce468beaed11289cec0eccebf7f6318fb5a5;54
large-refactorings/dubbo;725fbb9503a7b75df1c257d7726bee8a0302760a;2
large-refactorings/dubbo;e2079ac536b30e59a9268127db85f08ad40790a8;1
large-refactorings/dubbo;9cb97e35a3776c577a188858d401d74106f75759;1
large-refactorings/dubbo;f60f840db6ad9a120cba84442103e6fe8b4912bd;1
large-refactorings/dubbo;cb10c9e568638a04d8cff8f0190525ff85fcda3a;4
large-refactorings/dubbo;1abc66a46540d347f988a5bf258e3e8aa41599a1;1
large-refactorings/dubbo;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;24
large-refactorings/dubbo;cecefc39e1a7ccfdaaadb3c67f4e8add240da9e6;3
large-refactorings/dubbo;4bc470ff09bc791fe548669424660264bceb8793;1
large-refactorings/dubbo;f761f3251923b144a5f471350bbe431911b921f7;8
large-refactorings/dubbo;0ac1567837d67db68b4580385881f48a17475d3b;12
large-refactorings/dubbo;feb9e41cb355ed06a77c135f6c3b42f7c2cb0f42;1
large-refactorings/dubbo;a5737d1625259837cff4555b94ac92301eb56642;4
large-refactorings/dubbo;192cee21e785ef388e33ed78cbefb9c666b7ac9e;3
large-refactorings/dubbo;676f5eb61032aa38f3273a581e6316d7fc264e0a;7
large-refactorings/dubbo;d46f33132b80d01efd00509b2e5064271e4c0964;13
large-refactorings/dubbo;0631e705def9e9e25df3d56d17407a5fd83a7846;1
large-refactorings/dubbo;3eff57a7ca2d666cd0ea7b66e26dc9206f57fc45;3
large-refactorings/dubbo;b4d72f9ef0394e1421834642e6f327c09199cbeb;3
large-refactorings/dubbo;dcdfe5afa4b5c92e6f15327d4c798a5b632d4e69;30
large-refactorings/dubbo;590a7e57669ac4ef1982313f413f6bf8091bcc0a;1
large-refactorings/dubbo;6a994ac9a6882ac6a70ceea642c72085e14fc085;3
large-refactorings/dubbo;90632e33b363f7646462145943c5824f12dbc419;1
large-refactorings/dubbo;d19eaa1f5f80a2a2853d922524bbdd278e0613e9;4
large-refactorings/dubbo;89aac3c2a4159701a02902777394dfa2ab328a68;7
large-refactorings/dubbo;3440f39c10dc333dfb6e1703e0e2ee1350738557;1
large-refactorings/dubbo;2e8dca636792f354f31661eca0d151e12a79cd4f;1
large-refactorings/dubbo;026fb43b03d69b2bfd8784b16854bbe50730d5f5;3
large-refactorings/dubbo;11fe5de97c9c7357e1e8c5c90155c7565fc2a6d0;2
large-refactorings/dubbo;b7d60ce121479bffce1a416b5ce1b8b798fd2eec;8
large-refactorings/dubbo;707836eb4eb8da1ffeeed3ede9b135178d6967c0;2
large-refactorings/dubbo;b722a201e9b91b7023a09fb886cdf32ba5ad654e;2
large-refactorings/dubbo;5b83a98692871bd6a36d739a7fcdd1a5b9d21f82;2
large-refactorings/dubbo;c41362b1c94be002d460ce2b36db2be15e896260;1
large-refactorings/dubbo;a4dcaf416c7177c5db3a86341569dd710afe3792;4
large-refactorings/dubbo;8b470e518caafddcb7f876d3eb21a637079354ea;5
large-refactorings/dubbo;e3213249cec4a464e5ee47218514fbb2ada828d4;11
large-refactorings/dubbo;806850c8578a580296ce3dcbacbfde7ae8ecfa9a;1
large-refactorings/dubbo;01874fc4e5fb39c8cc9040368b298cd80a4208b8;1
large-refactorings/dubbo;7af0d771de640fb5daa53a0c891bc56961a218eb;2
large-refactorings/dubbo;940c7da0f53a1ff65bb57cf78624f72cb9772eee;2
large-refactorings/dubbo;02a366c64fd0642cef513c9451a94934122357e2;5
large-refactorings/dubbo;e93b5191e1f6157f1cc4c8555e6a5437ff774cbc;9
large-refactorings/dubbo;9ef015bd995558514ccc1c87df10cfc26b4fdb91;1
large-refactorings/dubbo;aef74db40405e685f5f5b8a52e3c643f3cdd8158;8
large-refactorings/dubbo;05dac97a3f291983c3a27ee2794a4496f6a1f828;6
large-refactorings/dubbo;561184408e446d62347880668f64118b23dbd94b;2
large-refactorings/dubbo;b260d45a69354ebba5c112ce7a54b2f58ffef75a;19
large-refactorings/dubbo;09296792b225874b6949fdae04e3425f1f9b71a5;1
large-refactorings/dubbo;bfcb046b188b27969f9b10746434d85bf82fb968;1
large-refactorings/dubbo;0b067c628b6c9f7437aaaf9e71372d06953f4738;61
large-refactorings/dubbo;e2d1ec03f560648c9b7b399046abbed46683eba1;3
large-refactorings/dubbo;99256faf8f31bb80a45605442478f1b1b605c34a;7
large-refactorings/dubbo;810c82456fcadcc7cdb39d063f71af7c12c14fa4;22
large-refactorings/dubbo;0e5de864712d03df53e5b9fa75585b9ab46978bd;1
large-refactorings/dubbo;6283eb44e1f35d91cc880b9090683677a53c2170;1
large-refactorings/dubbo;23f19ce19c77c1dc738da845149f45dc3213e8ef;6
large-refactorings/dubbo;bb6d62b858afaa6fc1d63d1ac0ed3ba3a2f024a9;2
large-refactorings/dubbo;e7b41b2a3d54cb62133b9bb6bfe510a70de199c4;1
